  123  30  0  17.5  17.5  0  -0.35  0.35  4  7  125  0  49  0  93  7  35
  123  37  0  2.5  12.5  0  -0.05  -0.15  4  1  166  4  51  0  162  1  148
  123  42  0  22.5  37.5  0  0.05  0.25  4  4  87  5  65  5  91  10  43
  123  47  0  15  5  0  -0  -0.1  4  3  125  2  50  3  49  0  64
  123  82  0  40  35  0  0.1  0.2  4  7  111  5  50  9  131  9  49
  123  86  0  15  5  0  -0.2  0.1  4  5  188  0  39  1  112  2  115
  123  101  0  25  35  0  -0.2  0.2  4  7  187  5  105  3  84  9  121
  123  104  0  25  20  0  0.5  -0.4  4  0  124  8  46  10  119  0  80
  123  117  0  40  25  0  -0  0.3  4  8  114  2  84  8  84  8  56
  123  122  0  30  10  0  -0  -0.2  4  6  83  4  46  6  155  0  141
  123  126  0  25  15  0  -0.4  -0  4  9  156  3  201  1  86  3  51
  123  127  0  42.5  30  0  0.05  0.4  4  8  108  2  29  9  126  10  60
  123  133  0  22.5  25  0  -0.05  0.5  4  5  129  0  51  4  131  10  62
  123  148  0  17.5  17.5  0  -0.35  -0.15  4  7  84  5  130  0  62  2  117
  123  166  0  27.5  22.5  0  0.35  0.25  4  2  76  2  54  9  114  7  137
  123  178  0  2.5  27.5  0  0.05  -0.25  4  0  62  8  56  1  166  3  37
  123  215  0  27.5  30  0  0.25  0.1  4  3  126  5  55  8  151  7  86
  123  259  0  17.5  12.5  0  0.15  -0.25  4  2  53  5  44  5  112  0  63
  123  291  0  32.5  37.5  0  0.25  -0.05  4  4  152  8  50  9  148  7  99
  123  308  0  7.5  2.5  0  0.05  0.05  4  1  23  0  32  2  41  1  228
  123  315  0  15  15  0  0.1  -0.1  4  2  106  4  32  4  174  2  67
  123  329  0  15  27.5  0  -0  0.15  4  3  59  4  42  3  72  7  30
  123  342  0  20  30  0  0.1  -0.3  4  3  99  9  25  5  131  3  178
  123  350  0  27.5  22.5  0  0.35  -0.15  4  2  30  6  32  9  51  3  55
  123  361  0  35  2.5  0  -0.1  0.05  4  8  155  0  71  6  23  1  76
  123  364  0  42.5  27.5  0  0.15  -0.25  4  7  150  8  83  10  66  3  48
  123  375  0  35  10  0  -0.2  -0.2  4  9  87  4  54  5  90  0  103
  123  387  0  17.5  0  0  0.05  -0  4  3  41  0  79  4  97  0  85
  123  389  0  20  30  0  0.4  0.1  4  0  79  5  31  8  64  7  104
  123  435  0  30  22.5  0  -0  0.25  4  6  76  2  27  6  117  7  22
  123  465  0  2.5  25  0  -0.05  -0.3  4  1  151  8  31  0  112  2  59
  123  492  0  20  27.5  0  -0  -0.25  4  4  114  8  17  4  117  3  45
  123  497  0  47.5  30  0  0.05  0.1  4  9  54  5  127  10  202  7  39
  123  497  0  30  27.5  0  0.2  0.25  4  4  159  3  54  8  141  8  86
  123  514  0  27.5  22.5  0  0.05  0.25  4  5  109  2  73  6  36  7  95
  123  515  0  22.5  22.5  0  -0.05  0.45  4  5  133  0  24  4  179  9  91
  123  530  0  10  32.5  0  -0.2  0.25  4  4  44  4  51  0  161  9  29
  123  533  0  25  25  0  0.3  -0.3  4  2  76  8  83  8  18  2  25
  123  579  0  35  15  0  0.3  -0.1  4  4  118  4  52  10  37  2  87
  123  582  0  42.5  22.5  0  0.15  0.25  4  7  109  2  25  10  140  7  42
  123  586  0  10  17.5  0  0.2  0.35  4  0  72  0  45  4  97  7  29
  123  592  0  30  30  0  -0.3  0.1  4  9  125  5  89  3  113  7  71
  123  604  0  40  17.5  0  -0  -0.05  4  8  106  4  57  8  56  3  20
  123  614  0  7.5  7.5  0  -0.05  -0.15  4  2  77  3  24  1  86  0  70
  123  620  0  32.5  12.5  0  0.15  -0.25  4  5  175  5  100  8  19  0  140
  123  629  0  22.5  12.5  0  -0.45  -0.05  4  9  16  3  28  0  34  2  144
  123  651  0  10  10  0  -0.1  0.1  4  3  115  1  96  1  134  3  67
  123  666  0  22.5  10  0  -0.45  -0.2  4  9  68  4  109  0  163  0  103
  123  667  0  17.5  22.5  0  0.05  0.35  4  3  111  1  48  4  121  8  49
  123  673  0  32.5  30  0  -0.15  0.2  4  8  40  4  111  5  129  8  66
  123  677  0  22.5  0  0  -0.05  -0  4  5  152  0  69  4  83  0  135
  123  705  0  45  30  0  -0  0.1  4  9  65  5  27  9  96  7  67
  123  723  0  32.5  30  0  0.15  0.3  4  5  72  3  103  8  129  9  20
  123  724  0  17.5  30  0  0.05  0.1  4  3  213  5  69  4  178  7  42
  123  731  0  20  7.5  0  0.2  -0.15  4  2  109  3  64  6  115  0  66
  123  735  0  27.5  22.5  0  0.35  0.35  4  2  210  1  209  9  102  8  48
  123  763  0  35  45  0  -0.2  0.1  4  9  62  8  21  5  74  10  98
